City,Latitude,Longitude,Max Temp,Cloudiness,Wind Speed,Humidity,Date
Mahajanga,-15.72,46.32,73.38,20,2.1,88,2018-10-28 00:00:00
Yumen,40.29,97.04,28.43,0,2.87,62,2018-10-28 01:17:10
Faya,18.39,42.45,60.78,0,1.52,93,2018-10-28 00:00:00
Sangar,63.92,127.47,11.2,20,1.72,64,2018-10-28 01:17:13
Husavik,50.56,-96.99,40.0,36,3.32,96,2018-10-28 01:17:14
Port Hardy,50.7,-127.42,49.98,90,9.3,76,2018-10-28 01:00:00
Dikson,73.51,80.55,24.92,76,15.02,100,2018-10-28 01:17:16
Kapaa,22.08,-159.32,85.98,90,7.2,78,2018-10-28 00:16:00
Busselton,-33.64,115.35,59.12,0,4.82,100,2018-10-28 01:17:19
Severo-Kurilsk,50.68,156.12,43.51,92,6.07,98,2018-10-28 01:17:20
Bara,10.41,10.6,77.8,56,1.07,67,2018-10-28 01:17:21
Fortuna,38.18,-1.13,57.18,20,5.7,66,2018-10-28 01:00:00
Finschhafen,-6.6,147.85,73.16,92,0.57,100,2018-10-28 01:17:24
Bluff,-23.58,149.07,89.59,0,2.32,45,2018-10-28 01:17:25
Robinson,39.01,-87.74,51.78,1,3.42,93,2018-10-28 00:35:00
Manbij,36.53,37.96,39.18,0,0.5,86,2018-10-28 00:50:00
Ancud,-41.87,-73.83,53.18,92,2.92,97,2018-10-28 01:17:28
Qaanaaq,77.48,-69.36,-8.2,0,4.47,100,2018-10-28 01:14:00
Talnakh,69.49,88.39,30.95,88,9.27,93,2018-10-28 01:17:31
Porto Novo,-23.68,-45.44,67.98,75,4.1,82,2018-10-28 01:00:00
Georgetown,6.8,-58.16,78.78,20,1.0,88,2018-10-28 00:00:00
Faanui,-16.48,-151.75,80.72,8,3.77,100,2018-10-28 01:17:36
Upernavik,72.79,-56.15,23.71,92,10.42,100,2018-10-28 01:14:41
Pevek,69.7,170.27,14.53,48,5.02,100,2018-10-28 01:17:38
Fort Smith,35.39,-94.42,60.78,1,1.32,67,2018-10-28 00:55:00
Zheleznodorozhnyy,55.75,38.0,42.78,75,4.0,87,2018-10-28 00:30:00
Buraydah,26.33,43.97,62.58,40,6.2,59,2018-10-28 00:00:00
Padilla,3.23,-76.31,71.58,75,4.1,88,2018-10-28 00:00:00
Takab,36.4,47.11,28.07,24,0.97,92,2018-10-28 01:17:47
Kavieng,-2.57,150.8,82.52,48,2.07,100,2018-10-28 01:17:48
Kyzyl-Suu,42.34,78.0,41.8,48,0.87,100,2018-10-28 01:17:50
Saldanha,41.42,-6.55,35.63,24,2.72,85,2018-10-28 01:17:51
Labuhan,-2.54,115.51,76.76,32,1.32,91,2018-10-28 01:15:02
Punta Arenas,-53.16,-70.91,49.98,75,5.7,57,2018-10-28 00:00:00
Ambilobe,-13.19,49.05,63.71,8,1.77,79,2018-10-28 01:17:55
Antofagasta,-23.65,-70.4,60.78,90,5.1,63,2018-10-28 00:00:00
New Norfolk,-42.78,147.06,55.38,75,3.1,43,2018-10-28 01:00:00
Churapcha,62.0,132.43,7.15,0,1.27,77,2018-10-28 01:15:28
Namibe,-15.19,12.15,78.92,0,5.82,84,2018-10-28 01:18:01
Havoysund,71.0,24.66,28.38,88,2.6,92,2018-10-28 00:50:00
Aksarka,66.56,67.8,24.92,92,3.82,91,2018-10-28 01:18:04
Bambous Virieux,-20.34,57.76,64.38,20,3.1,88,2018-10-28 00:00:00
Tanda,31.67,75.63,59.57,0,1.17,80,2018-10-28 01:18:06
Sobolevo,54.43,31.9,43.69,92,5.72,95,2018-10-28 01:18:07
Saint Anthony,43.97,-111.68,60.78,90,4.1,47,2018-10-27 23:56:00
Kodiak,39.95,-94.76,55.38,1,2.1,71,2018-10-28 00:53:00
Saint-Philippe,45.36,-73.48,35.58,90,8.2,100,2018-10-28 01:13:00
Tiznit,29.7,-9.73,63.8,76,2.42,99,2018-10-28 01:18:13
Port Elizabeth,39.31,-74.98,49.98,90,4.1,100,2018-10-28 00:56:00
Hobyo,5.35,48.53,74.38,20,1.87,97,2018-10-28 01:18:17
Nikolskoye,59.7,30.79,35.58,75,6.0,96,2018-10-28 00:30:00
Nanortalik,60.14,-45.24,35.5,76,6.62,94,2018-10-28 01:18:19
Price,39.6,-110.81,57.18,1,0.62,44,2018-10-28 00:53:00
Menzelinsk,55.73,53.11,33.78,40,5.0,86,2018-10-28 00:30:00
Vysokogornyy,50.1,139.13,31.76,0,1.67,79,2018-10-28 01:18:23
Kawalu,-7.38,108.21,68.71,88,1.22,99,2018-10-28 01:18:24
San Cristobal,-0.39,-78.55,55.38,75,5.1,76,2018-10-28 00:00:00
Zhumadian,33.01,114.02,53.86,0,3.97,44,2018-10-28 01:18:27
Ewa Beach,21.32,-158.01,87.78,1,4.6,48,2018-10-27 23:57:00
Muskogee,35.75,-95.37,64.38,1,2.1,67,2018-10-28 00:55:00
Codrington,-28.95,153.24,73.52,48,2.77,63,2018-10-28 01:18:30
Pathein,16.78,94.73,72.94,0,3.32,97,2018-10-28 01:18:31
Essenbach,48.32,11.23,39.18,92,4.1,93,2018-10-28 00:50:00
Acapulco,16.86,-99.88,82.38,75,3.1,78,2018-10-27 23:47:00
Gigmoto,13.78,124.39,79.01,92,8.42,100,2018-10-28 01:18:35
Geraldton,49.72,-86.95,35.58,90,1.0,80,2018-10-28 01:00:00
Airai,-8.93,125.41,81.53,0,0.92,42,2018-10-28 01:18:37
Teguldet,57.31,88.17,39.32,0,3.67,71,2018-10-28 01:17:01
Saint-Joseph,43.56,6.97,58.98,90,1.0,93,2018-10-28 01:00:00
Paidha,2.42,30.99,67.45,44,0.97,83,2018-10-28 01:18:42
Bethel,60.79,-161.76,33.78,1,10.3,55,2018-10-28 00:53:00
Haines Junction,60.75,-137.51,31.76,12,0.62,73,2018-10-28 01:18:46
Cariamanga,-4.33,-79.56,68.93,56,0.72,52,2018-10-28 01:18:47
Mehamn,71.03,27.85,31.76,88,6.27,80,2018-10-28 01:18:48
Sinnamary,5.38,-52.96,81.17,80,3.17,96,2018-10-28 01:18:50
Hambantota,6.12,81.12,76.31,80,2.22,100,2018-10-28 01:18:51
Aswan,24.09,32.9,69.78,0,4.6,30,2018-10-28 00:00:00
Devonport,-41.18,146.36,51.47,0,1.22,68,2018-10-28 01:18:53
Lompoc,34.64,-120.46,76.98,1,5.1,38,2018-10-28 00:35:00
Hilo,19.71,-155.08,82.38,1,3.6,69,2018-10-27 23:56:00
Puerto Madero,-34.61,-58.36,66.18,0,5.1,68,2018-10-28 00:00:00
Jamestown,-33.21,138.6,54.26,92,1.72,100,2018-10-28 01:18:59
Yibin,28.77,104.64,57.68,92,1.27,97,2018-10-28 01:19:00
Axim,4.87,-2.24,80.5,8,4.77,100,2018-10-28 01:19:01
Chokurdakh,70.62,147.9,8.68,88,3.32,88,2018-10-28 01:19:02
Santa Cruz de Tenerife,28.47,-16.25,67.98,68,2.1,93,2018-10-28 01:00:00
Ribeira Grande,38.52,-28.7,67.18,32,7.82,100,2018-10-28 01:19:05
Beringovskiy,63.05,179.32,31.0,76,3.07,100,2018-10-28 01:15:35
San Patricio,-26.98,-56.83,64.84,0,2.02,68,2018-10-28 01:19:07
Arraial do Cabo,-22.97,-42.02,73.3,92,4.17,97,2018-10-28 01:13:48
Souillac,45.6,-0.6,40.98,0,4.6,80,2018-10-28 01:00:00
Ola,59.58,151.3,39.18,90,3.0,93,2018-10-28 00:30:00
Broome,52.47,1.45,42.78,64,3.6,93,2018-10-28 00:56:00
Zhanaozen,43.35,52.85,32.98,0,0.72,83,2018-10-28 01:19:14
Mitsamiouli,-11.38,43.28,74.78,0,1.67,100,2018-10-28 01:19:15
Cabo San Lucas,22.89,-109.91,82.38,40,2.52,69,2018-10-27 23:49:00
Provideniya,64.42,-173.23,26.9,8,3.02,100,2018-10-28 01:19:18
Thompson,55.74,-97.86,31.98,90,3.6,98,2018-10-28 01:00:00
Turkmenabat,39.09,63.58,51.78,90,7.2,87,2018-10-28 00:00:00
Pangoa,-12.12,-73.0,68.66,0,1.22,90,2018-10-28 01:19:23
Ciudad Bolivar,8.12,-63.55,90.58,0,6.87,43,2018-10-28 01:19:25
Mount Gambier,-37.83,140.78,56.78,20,1.52,75,2018-10-28 01:10:02
Chumikan,54.72,135.31,37.84,92,9.32,100,2018-10-28 01:19:28
Ewo,-0.88,14.81,70.69,8,1.52,96,2018-10-28 01:19:29
Susanville,40.42,-120.65,67.98,1,3.6,28,2018-10-28 00:55:00
Zhaotong,27.34,103.71,46.75,92,1.37,100,2018-10-28 01:19:31
Macia,-25.03,33.09,60.79,0,1.27,92,2018-10-28 01:19:32
Davidson,35.5,-80.85,55.38,75,4.67,87,2018-10-28 00:54:00
San Fernando,10.28,-61.46,78.78,20,2.57,78,2018-10-28 00:00:00
Mahebourg,-20.41,57.7,64.38,20,3.1,88,2018-10-28 00:00:00
Altamont,49.4,-98.5,40.98,92,2.1,100,2018-10-28 00:55:00
Itau de Minas,-20.74,-46.75,71.41,80,4.67,73,2018-10-28 01:19:41
Meulaboh,4.14,96.13,76.09,80,0.72,100,2018-10-28 01:19:42
Inuvik,68.36,-133.71,22.98,90,2.6,92,2018-10-28 01:00:00
Carballo,43.21,-8.69,42.78,20,1.0,87,2018-10-28 01:00:00
Katsuura,33.93,134.5,62.58,40,4.1,59,2018-10-28 00:00:00
Khandyga,62.65,135.58,7.28,8,1.67,92,2018-10-28 01:19:47
Horsham,-36.71,142.2,56.29,44,3.32,88,2018-10-28 01:19:48
Havelock,34.88,-76.9,57.18,20,1.5,100,2018-10-28 00:56:00
Constitucion,23.99,-104.67,64.38,20,5.1,52,2018-10-28 00:43:00
Cairo Montenotte,44.4,8.27,62.58,75,9.8,100,2018-10-28 00:50:00
Lebedinyy,58.52,125.52,14.12,68,2.47,81,2018-10-28 01:15:23
Khatanga,71.98,102.47,34.24,64,7.87,88,2018-10-28 01:19:54
Dauriya,49.93,116.85,18.49,0,8.02,65,2018-10-28 01:19:55
Tasiilaq,65.61,-37.64,30.18,92,15.9,92,2018-10-28 00:50:00
Adrar,27.87,-0.29,69.78,0,3.6,52,2018-10-28 00:00:00
Barrow,-38.31,-60.23,62.0,0,4.67,76,2018-10-28 01:19:59
Kaitangata,-46.28,169.85,49.22,92,2.92,100,2018-10-28 01:20:00
Jiaocheng,24.68,116.14,59.08,0,1.32,78,2018-10-28 01:20:01
Bayir,37.27,28.22,48.18,0,1.5,87,2018-10-28 00:50:00
Luganville,-15.51,167.18,79.1,8,2.22,100,2018-10-28 01:20:03
Tabou,4.42,-7.36,81.35,0,3.67,100,2018-10-28 01:20:05
Narsaq,60.91,-46.05,33.78,88,2.1,80,2018-10-28 00:50:00
Ust-Kulom,61.69,53.69,31.9,88,3.42,86,2018-10-28 01:20:08
Yellowknife,62.45,-114.38,31.98,90,3.1,93,2018-10-28 00:00:00
Castro,-42.48,-73.76,52.82,92,2.87,98,2018-10-28 01:20:12
Malibu,33.61,-84.48,53.58,40,4.1,76,2018-10-28 00:56:00
Coihaique,-45.58,-72.07,55.38,40,1.57,54,2018-10-28 00:00:00
Sadove,49.7,33.25,53.45,0,6.62,70,2018-10-28 01:20:15
Kachiry,53.07,76.1,55.61,88,6.37,34,2018-10-28 01:20:17
Ixtapa,20.71,-105.21,82.38,90,2.1,83,2018-10-28 00:49:00
Wanning,48.64,13.53,44.58,90,6.7,75,2018-10-28 00:50:00
Vila Franca do Campo,37.72,-25.43,62.58,40,6.2,67,2018-10-28 01:00:00
Galesong,-5.32,119.37,83.38,0,3.77,85,2018-10-28 01:20:21
Hamilton,32.3,-64.78,75.18,75,10.3,69,2018-10-27 23:55:00
Port Blair,11.67,92.75,84.05,12,6.27,100,2018-10-28 01:20:24
Aklavik,68.22,-135.01,22.98,90,2.6,92,2018-10-28 01:00:00
Puerto Leguizamo,-0.19,-74.78,79.51,0,0.97,88,2018-10-28 01:20:27
Aktau,43.65,51.16,33.78,0,5.0,100,2018-10-28 00:30:00
Bathsheba,13.22,-59.52,76.98,40,2.1,88,2018-10-28 00:00:00
Hasaki,35.73,140.83,66.18,40,5.1,68,2018-10-28 00:30:00
Lagos,6.46,3.39,78.78,20,1.0,88,2018-10-28 01:00:00
Ngunguru,-35.62,174.5,63.94,48,5.72,94,2018-10-28 01:20:33
Robertsport,6.75,-11.37,82.03,44,2.62,100,2018-10-28 01:20:35
Paralimni,40.99,23.67,46.7,12,1.57,94,2018-10-28 01:20:36
Sivaki,52.63,126.75,32.57,92,5.87,72,2018-10-28 01:20:37
Henties Bay,-22.12,14.28,67.85,32,0.87,79,2018-10-28 01:20:41
Sur,22.57,59.53,77.8,76,2.07,100,2018-10-28 01:20:42
Lunen,51.78,5.74,40.98,12,5.1,86,2018-10-28 00:55:00
Inhambane,-23.87,35.38,64.97,0,2.97,100,2018-10-28 01:20:44
Suraabad,40.82,49.47,42.78,0,2.47,93,2018-10-28 00:30:00
Mar del Plata,-46.43,-67.52,60.43,0,1.87,47,2018-10-28 01:16:14
Laguna,27.52,-110.01,84.18,5,2.6,42,2018-10-28 00:50:00
Norman Wells,65.28,-126.83,22.98,90,1.17,92,2018-10-28 01:00:00
Bonfim,-20.33,-44.24,72.31,64,4.67,75,2018-10-28 01:20:53
Kruisfontein,-34.0,24.73,62.81,0,5.92,85,2018-10-28 01:20:54
Cherskiy,68.75,161.3,-5.14,76,1.57,83,2018-10-28 01:20:55
Skreia,60.65,10.93,27.85,0,3.12,86,2018-10-28 01:20:57
Tabas,33.6,56.92,73.38,92,1.0,35,2018-10-28 00:00:00
Goure,13.98,10.27,77.03,32,1.27,61,2018-10-28 01:16:40
Lensk,60.71,114.91,14.21,44,1.12,82,2018-10-28 01:21:00
Balabac,7.99,117.06,83.42,8,0.62,100,2018-10-28 01:21:02
Inzhavino,52.33,42.5,37.39,92,6.77,96,2018-10-28 01:21:04
Noumea,-22.28,166.46,84.18,0,4.1,39,2018-10-28 01:00:00
Tucuman,-17.17,-70.89,58.36,0,0.52,74,2018-10-28 01:21:06
Kafr Sawm,32.68,35.8,38.42,0,1.92,76,2018-10-28 01:21:07
Eloy,32.76,-111.56,82.38,1,3.1,36,2018-10-28 00:56:00
Afyonkarahisar,38.76,30.53,25.06,0,1.17,75,2018-10-28 01:21:11
Lata,30.78,78.62,40.76,0,1.27,69,2018-10-28 01:21:12
Biak,-0.91,122.88,81.85,20,1.87,88,2018-10-28 01:21:13
Coquimbo,-29.95,-71.34,57.18,0,1.0,87,2018-10-28 00:00:00
Tahoua,14.89,5.26,70.55,8,1.47,88,2018-10-28 01:19:25
Huarmey,-10.07,-78.15,62.68,8,1.42,72,2018-10-28 01:21:18
Klaksvik,62.23,-6.59,35.58,88,1.0,80,2018-10-28 00:50:00
Soyo,-6.13,12.37,77.66,92,1.67,92,2018-10-28 01:21:20
Egvekinot,66.32,-179.17,2.56,20,0.87,64,2018-10-28 01:21:21
Nouadhibou,20.93,-17.03,67.98,76,6.2,88,2018-10-28 01:00:00
Kavaratti,10.57,72.64,85.76,0,2.72,97,2018-10-28 01:21:25
Deming,32.27,-107.76,66.18,1,2.1,37,2018-10-28 00:55:00
Sao Sebastiao,-3.15,-58.36,86.3,20,1.82,67,2018-10-28 01:21:28
Gamba,28.28,88.52,-9.1,8,0.82,65,2018-10-28 01:21:31
Jackson,35.61,-88.82,53.58,1,2.22,93,2018-10-28 00:56:00
Avera,33.19,-82.53,57.18,90,3.6,76,2018-10-28 00:55:00
Lalibela,12.04,39.05,36.31,0,0.87,78,2018-10-28 01:21:35
Kuytun,54.34,101.51,21.05,0,1.07,72,2018-10-28 01:21:37
Zarichne,51.81,26.13,44.18,92,3.42,91,2018-10-28 01:21:38
Zemio,5.02,25.13,68.66,56,1.17,98,2018-10-28 01:21:39
Saint-Augustin,44.83,-0.61,42.78,0,5.7,75,2018-10-28 01:00:00
Slave Lake,55.28,-114.77,40.98,90,2.6,86,2018-10-28 01:00:00
Jackville,5.21,-4.42,80.58,40,3.1,83,2018-10-28 01:00:00
Luderitz,-26.65,15.16,75.18,32,2.6,50,2018-10-28 00:00:00
Delta,41.57,-84.01,44.58,90,2.6,87,2018-10-28 00:53:00
Karratha,-20.74,116.85,75.5,0,1.47,68,2018-10-28 01:21:49
Chilca,-13.22,-72.34,53.58,75,1.0,76,2018-10-28 00:30:00
Pisco,-13.71,-76.2,66.18,90,4.6,77,2018-10-28 00:00:00
Shingu,33.72,135.99,62.58,20,4.6,63,2018-10-28 00:00:00
Esperance,10.24,-61.45,76.98,0,2.57,83,2018-10-28 01:00:00
Okhotsk,59.36,143.24,26.9,64,2.47,100,2018-10-28 01:21:55
Lima,-12.06,-77.04,61.33,8,0.92,62,2018-10-28 01:20:04
Soddy-Daisy,35.24,-85.19,53.58,90,2.6,71,2018-10-28 00:55:00
Sitka,37.17,-99.65,66.73,0,2.17,41,2018-10-28 01:21:59
Bakchar,57.02,82.07,46.84,92,3.92,52,2018-10-28 01:22:01
Gornopravdinsk,60.06,69.92,33.88,36,2.27,78,2018-10-28 01:22:07
Iquique,-20.22,-70.14,64.38,75,5.1,72,2018-10-28 00:00:00
Oriximina,-1.77,-55.87,87.7,20,2.22,54,2018-10-28 01:22:10
Sena Madureira,-9.07,-68.66,81.17,8,1.77,77,2018-10-28 01:22:11
Severo-Yeniseyskiy,60.37,93.04,41.08,0,4.27,59,2018-10-28 01:22:12
Qostanay,53.17,63.58,35.58,75,6.0,69,2018-10-28 00:30:00
Mbanza-Ngungu,-5.25,14.87,67.4,12,1.22,94,2018-10-28 01:22:16
Paragominas,-3.0,-47.35,85.22,68,4.02,61,2018-10-28 01:22:17
Dakoro,14.51,6.76,75.64,8,1.32,75,2018-10-28 01:22:18
Brindisi,40.63,17.94,66.18,0,5.1,82,2018-10-28 00:55:00
Taoudenni,22.68,-3.98,64.66,0,1.27,35,2018-10-28 01:22:20
Verkhnyaya Inta,65.99,60.32,29.11,92,1.72,85,2018-10-28 01:22:21
Gourcy,13.21,-2.36,75.28,0,1.62,70,2018-10-28 01:22:23
Deputatskiy,69.3,139.9,-9.55,8,1.47,65,2018-10-28 01:22:25
Gerash,27.67,54.14,69.78,75,4.1,64,2018-10-28 00:00:00
Gap,44.56,6.08,39.55,92,0.97,100,2018-10-28 01:22:27
College,64.86,-147.8,31.98,90,1.62,95,2018-10-28 00:58:00
Kadipur,26.16,82.38,64.43,0,1.22,79,2018-10-28 01:22:30
Bosaso,11.28,49.18,76.63,0,1.77,100,2018-10-28 01:22:31
Minna,9.62,6.55,74.65,36,1.22,92,2018-10-28 01:22:32
Gizo,31.8,34.94,58.98,0,2.1,67,2018-10-28 00:50:00
Xining,36.62,101.77,20.83,48,1.22,75,2018-10-28 01:22:35
Gidole,5.65,37.37,61.73,80,1.17,96,2018-10-28 01:22:36
Kahului,20.89,-156.47,87.78,40,10.3,62,2018-10-28 00:56:00
Peniche,39.36,-9.38,49.98,20,3.6,81,2018-10-28 01:00:00
Sao Jose da Coroa Grande,-8.9,-35.15,74.78,0,5.02,92,2018-10-28 01:22:41
Ushtobe,45.25,77.98,51.43,36,3.22,45,2018-10-28 01:22:42
Adolfo Lopez Mateos,26.8,-109.39,89.05,0,1.07,36,2018-10-28 01:22:43
Tyrma,50.04,132.17,27.4,88,4.12,84,2018-10-28 01:22:44
Aylmer,42.77,-80.98,35.58,90,4.1,93,2018-10-28 01:00:00
Port Lincoln,-34.72,135.86,61.82,88,3.87,89,2018-10-28 01:22:47
Eregli,37.51,34.05,29.11,0,1.42,69,2018-10-28 01:22:48
Itarema,-2.92,-39.92,77.8,0,6.17,81,2018-10-28 01:22:49
Kirakira,-10.46,161.92,83.6,12,3.02,100,2018-10-28 01:22:50
Obsharovka,53.12,48.85,30.05,68,3.02,98,2018-10-28 01:22:51
Ponta Delgada,37.73,-25.67,62.58,40,6.2,67,2018-10-28 01:00:00
Cape Coast,5.11,-1.24,75.5,12,1.72,96,2018-10-28 01:22:54
Sisimiut,66.94,-53.67,22.4,92,1.02,100,2018-10-28 01:19:19
Zyryanka,65.73,150.89,6.65,0,1.67,80,2018-10-28 01:22:56
Altay,47.83,88.13,9.08,0,0.97,52,2018-10-28 01:22:57
Rudsar,37.14,50.29,57.18,90,1.0,82,2018-10-28 00:00:00
Boden,65.83,21.69,22.98,0,3.6,85,2018-10-28 00:50:00
Sao Felix do Xingu,-6.64,-51.99,79.91,12,0.57,87,2018-10-28 01:23:01
Satana,20.6,74.2,62.5,0,1.52,70,2018-10-28 01:23:02
Poli,8.48,13.24,72.85,32,0.12,85,2018-10-28 01:23:06
Tuatapere,-46.13,167.69,48.91,92,1.12,100,2018-10-28 01:23:07
Perpignan,42.7,2.88,49.98,56,3.1,57,2018-10-28 01:00:00
Mahibadhoo,3.78,72.97,81.4,64,2.82,100,2018-10-28 01:23:09
Leh,34.16,77.58,-16.25,20,0.87,72,2018-10-28 01:23:10
Chambersburg,39.94,-77.66,49.98,90,1.5,87,2018-10-28 01:00:00
Zarubino,42.65,131.06,45.62,92,4.62,100,2018-10-28 01:23:13
Hovd,63.83,10.7,26.58,75,3.1,85,2018-10-28 00:50:00
Lavrentiya,65.58,-170.99,29.42,0,9.52,100,2018-10-28 01:23:15
Saint George,39.45,22.34,53.58,0,2.1,93,2018-10-28 00:50:00
Tautira,-17.73,-149.15,82.38,40,6.7,69,2018-10-28 01:00:00
Santa Fe,-31.62,-60.7,67.54,92,2.97,59,2018-10-28 01:23:19
Nawa,27.02,75.0,60.79,0,2.07,51,2018-10-28 01:23:20
Chistoye,56.54,43.0,33.78,90,4.0,96,2018-10-28 00:30:00
Soyapango,13.73,-89.15,80.58,90,5.1,100,2018-10-28 00:50:00
Dong Hoi,17.48,106.6,77.03,12,0.87,100,2018-10-28 01:23:24
Balkhash,46.84,74.98,48.55,44,7.02,83,2018-10-28 01:23:26
Kedrovyy,56.17,91.82,26.58,0,3.22,92,2018-10-28 00:30:00
Ingham,-18.65,146.16,80.9,0,2.67,86,2018-10-28 01:23:28
Sibu,2.29,111.83,84.18,75,1.5,79,2018-10-28 01:00:00
Flinders,-34.58,150.85,64.38,90,6.2,45,2018-10-28 00:00:00
Maltahohe,-24.83,16.98,70.06,92,5.17,43,2018-10-28 01:23:33
Ellisras,-23.67,27.74,66.86,0,3.87,33,2018-10-28 01:23:34
La Asuncion,-1.64,-78.74,45.71,48,0.62,100,2018-10-28 01:23:35
Ayabaca,-4.64,-79.72,60.88,80,0.72,92,2018-10-28 01:23:36
Zenzeli,45.92,47.05,37.84,0,4.22,87,2018-10-28 01:23:38
Campo Grande,-20.46,-54.62,73.38,40,2.1,83,2018-10-28 00:00:00
The Pas,53.82,-101.24,33.78,90,5.7,99,2018-10-28 01:00:00
Livingston,32.58,-88.19,60.78,1,2.1,72,2018-10-27 23:58:00
Verkhnyaya Khava,51.84,39.93,49.98,90,5.0,81,2018-10-28 00:30:00
Zhigansk,66.77,123.37,18.35,88,6.07,85,2018-10-28 01:23:46
Yarada,17.65,83.27,82.16,0,8.12,100,2018-10-28 01:23:47
Prince Rupert,54.32,-130.32,51.78,1,3.1,53,2018-10-28 01:00:00
Bilibino,68.06,166.44,2.42,80,1.32,83,2018-10-28 01:23:50
Hualmay,-11.1,-77.61,61.33,20,2.22,88,2018-10-28 01:23:51
